molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
O3Sb2,antimony (III) oxide,1309-64-4,1648.15,1748.15,-2721.39728374593,3.42827588792011,-0.000940206754222118,0.0
O4Os,osmium tetroxide,20816-12-0,314.15,414.15,-606.760527061374,4.48841422369565,-0.00458797324307027,0.0
O5P2,phosphorus pentoxide,1314-56-3,828.15,928.15,-1321.88200452363,3.42409474991847,-0.00170667136017469,0.0
O6P4,phosphorous (III) oxide,12440-00-5,296.95,396.95,-504.148369232309,3.99705156276414,-0.00423461337298881,0.0
O7Re2,rhenium heptoxide,1314-68-7,583.15,683.15,-1581.63920302214,5.95108501082468,-0.00392474115335006,0.0
P,phosphorus (red),7723-14-0,250.0,1500.0,-14.4067626803899,0.259107924989449,-3.55432225143701e-05,3.89999438249517e-09
P2S3,phosphorus (III) sulfide,12165-69-4,713.15,813.15,-1224.23484891853,3.71226383448035,-0.00208988562432041,0.0
P2S5,phosphorus (V) sulfide,1314-80-3,250.0,1500.0,24.4886094329289,0.566766542780224,6.3396756637685e-05,-1.4132076774897e-08
P4S3,phosphorus sesquisulfide,1314-85-8,630.95,730.95,-1790.45630284995,6.18878173663986,-0.00383943280392075,0.0
Pb,lead,7439-92-1,1972.15,2072.15,-926.711705730059,0.977032357613109,-0.00022751842153857598,0.0
PbS,lead sulfide,1314-87-0,1504.15,1604.15,-2290.52696563736,3.17206692176055,-0.000944545431248116,0.0
Rb,rubidium,7440-17-7,1000.0,1500.0,-1021.0,2.4025,-0.0015375,3.75e-07
Rn,radon,10043-92-2,202.15,302.15,-330.487244996305,3.97361594879787,-0.00526795167545787,0.0
S,sulfur,7704-34-9,388.0,1000.0,0.583157605583622,0.147592983709138,-7.781054366498061e-06,2.60491305177688e-09
SSi,silicon monosulfide,12504-41-5,1163.15,1263.15,-620.970238570668,1.12400719696164,-0.000419985501237396,0.0
SSn,tin (II) sulfide,1314-95-0,1433.15,1533.15,-1325.29512113673,1.92993239781471,-0.000600047382960145,0.0
Si,silicon,7440-21-3,500.0,3000.0,1.48987774966108,0.0573938057065204,-7.209939034071791e-07,0.0
Sn,tin (gray),7440-31-5,2825.15,2925.15,-1559.99131808016,1.12969246965101,-0.00018827266464193702,0.0
Te2Zr,zirconium telluride,32321-65-6,1130.2,1230.2,-1269.97253293563,2.37284055898752,-0.000908995004209134,0.0
V,vanadium,7440-62-2,1000.0,4000.0,296.830107027054,0.0947052141024139,1.17364985120395e-05,0.0
Xe,xenon,7440-63-3,100.0,1600.0,-20.6121105101088,0.942862783680726,-0.000353162450122764,7.48802158906036e-08
Zn,zinc,7440-66-6,250.0,1500.0,31.3034075231936,0.565327885353569,-0.000149520452077502,3.32177184589635e-08
