molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
CH4N2O,urea,57-13-6,405.85,505.85,-0.0218561076185235,1.60588341625702e-05,4.912198692076961e-07,-5.40083700922498e-10
CH4N2S,thiourea,62-56-6,536.0,1000.0,-0.00175586785697066,2.41530528728841e-05,2.4793958003691803e-08,-3.96993582437978e-12
CH6Ge,"germane, methyl",1449-65-6,150.0,215.15,-0.00467010963099057,0.000135239387765512,-9.04921248887319e-08,-1.6001117728498698e-10
CH6Sn,methylstannane,1631-78-3,150.0,250.0,-0.00657646872595866,0.000117942161965003,-3.8142460442406294e-08,-1.63283800309926e-10
CN4O8,tetranitromethane,509-14-8,295.0,1000.0,-0.00477841962191014,3.3223152493198404e-05,3.73812231083637e-08,-2.2238943609175998e-11
CO,carbon monoxide,630-08-0,70.0,1500.0,0.000991860688660334,9.401999786951659e-05,-4.076111295656681e-08,1.3750653953674799e-11
COS,carbonyl sulfide,463-58-1,223.0,1000.0,-0.00321818068807574,5.6191803652691e-05,6.622265418023629e-09,-6.26344702966669e-12
CO2,carbon dioxide,124-38-9,194.67,1500.0,-0.00607829291578281,7.535098631701609e-05,9.49276579202504e-09,-1.12751601050646e-11
CSSe,"selenosulfide, carbon",5951-19-9,197.95,297.95,-0.00622295777185896,7.08921777886991e-05,1.06365097324157e-08,-1.7160428570477398e-10
CS2,carbon disulfide,75-15-0,273.15,1000.0,-0.00256810504994156,3.550788403421071e-05,9.8144423960759e-09,-5.301302697138151e-12
CSe2,"diselenide, carbon",506-80-9,229.45,329.45,-0.00770516265039621,7.412047856022159e-05,-1.75316354474088e-08,-1.16668605106282e-10
C2H5Cl3Si,"silane, ethyltrichloro",115-21-9,295.0,573.15,-0.0009326785305926769,2.34834393393207e-05,4.01050227859525e-08,-1.1583832908205e-11
C2H6AlCl,"aluminum, dimethyl chloride",1184-58-3,295.0,1000.0,-0.00285780078006148,2.9498579912869605e-05,4.09469788968952e-08,-1.3975126552448098e-11
C2H6Cl2Si,"silane, dimethyldichloro",75-78-5,295.0,650.0,-0.00111594569261492,2.29351075272442e-05,4.9929038666314804e-08,-1.3573592334540499e-11
C2N2,cyanogen,460-19-5,245.32,345.32,-0.0252689973661115,0.000196019774778544,8.53213585620763e-08,-4.763017046404651e-10
C3CoNO4,cobalt nitrosyl tricarbonyl,14096-82-3,262.15,362.15,-0.00924915965947621,2.0056643990696398e-05,6.253614477149339e-07,-8.888795196957121e-10
C3H9ClSi,chlorotrimethylsilane,75-77-4,295.0,650.0,0.00671839844391198,-1.8874843945636702e-05,1.3801425223183802e-07,-4.25491677508698e-11
C3H10Si,"silane, trimethyl",993-07-7,279.85,1000.0,-0.0008307308808684179,2.30665350132007e-05,1.1845296731570802e-07,-5.0833724880447204e-11
C3O2,carbon suboxide,504-64-3,161.85,261.85,-0.0101685506974877,0.00012448150341933702,2.56082472152976e-07,-7.917253303632871e-10
C4NiO4,nickel carbonyl,13463-39-3,253.85,353.85,-0.0590753472499294,0.000440382503908475,5.7309123961769605e-08,-8.600745010868801e-10
C5FeO5,iron pentacarbonyl,13463-40-6,253.15,353.15,-0.0452415253298544,0.00030776333976453797,3.55609619252127e-07,-1.0601491316223402e-09
C6H15Al,"aluminum, triethyl",97-93-8,295.0,1000.0,-0.00284523094406502,4.61619547744666e-05,9.544716262010189e-08,-1.62383236178222e-11
C6H18OSi2,"disiloxane, hexamethyl",107-46-0,295.0,1000.0,-0.00384025446634039,3.9304688948248604e-05,5.5859062087213706e-08,-1.89246073812906e-11
C6H19NSi2,"disilazane, hexamethyl",999-97-3,295.0,1000.0,-0.00251847698554685,1.45906347013958e-05,1.05138730015601e-07,-4.4672303603369796e-11
C7H8Cl2Si,"silane, methylphenyldichloro",149-74-6,295.0,1000.0,-0.00157831439089921,3.01229768671669e-05,3.8835422071161004e-08,-7.66383135367393e-12
C8H20Pb,tetraethyl lead,'78-00-2',295.0,1000.0,-0.0020265251875239,2.02291247521249e-05,3.47812801376349e-08,-1.13892611073969e-11
C8H20Si,"silane, tetraethyl",631-36-7,295.0,1000.0,-0.00300707462300345,2.7227280930182002e-05,7.06452762443431e-08,-2.11559988984084e-11
ClF,chlorine monofluoride,7790-89-8,150.0,217.55,-0.00471444822483326,0.00010459040513601,-1.22554948730319e-07,-1.00562237730318e-10
ClFO3,perchloryl fluoride,7616-94-6,150.0,1500.0,-0.00518915062520188,5.98714967333e-05,1.2507311089392599e-08,-8.70749182542194e-12
ClF2P,phosphorus (III) chloride difluoride,14335-40-1,200.0,300.0,-0.0146573177013615,0.00015573038335083602,1.24148504600685e-07,-5.25108120887307e-10
ClF2PS,phosphorus (V) sulfide chloride difluoride,'2524-02-9',150.0,218.15,-0.00524722152235129,0.000137818673832632,-3.58386191728367e-08,-3.34291828396571e-10
ClF3,chlorine trifluoride,7790-91-2,196.81,296.81,-0.012944948239627,0.00010635139227863599,3.2744526687535896e-07,-8.08783436634765e-10
ClF3Ge,"germane, chlorotrifluoro",14188-40-0,206.95,306.95,-0.0147409293267092,0.000148352581318219,1.42290411001215e-07,-5.187939049503299e-10
ClF3Si,"silane, chlorotrifluoro",14049-36-6,150.0,235.15,-0.00919061079852262,0.00011123115262016101,6.06979258935405e-07,-1.58787784691089e-09
ClF5,chlorine pentafluoride,13637-63-3,170.15,270.15,-0.00791638933207723,3.71106884115585e-05,7.346729404928079e-07,-1.47090004144579e-09
ClF5S,sulfur chloride pentafluoride,13780-57-9,209.15,309.15,-0.0132885121223883,3.6381160007017404e-05,9.58640853420385e-07,-1.6556315512728e-09
ClNO,nitrosyl chloride,2696-92-6,267.77,1000.0,-0.0032585402676100802,5.46420116560649e-05,-2.63150071295748e-09,-1.83220864898142e-12
ClNO2,nitryl chloride,13444-90-1,150.0,228.15,-0.0058847805189055705,0.00012042739952923799,-4.75210605581887e-08,-2.63436377344763e-10
ClO2,chlorine dioxide,10049-04-4,213.55,313.55,-0.0116903323423132,0.000115192558831951,-2.14178912429266e-08,-2.0714035731282098e-10
Cl2,chlorine,7782-50-5,200.0,1500.0,-0.0046210844231927,5.23695473344632e-05,-2.41707796610169e-08,5.8757062146892596e-12
Cl2CrO2,chromium oxychloride,14977-61-8,176.65,276.65,-0.00774572082325722,0.000107377488825184,-3.60812998058678e-09,-2.48012659528691e-10
Cl2FP,phosphorus (III) dichloride fluoride,15597-63-4,200.0,300.0,-0.0133472916976298,0.000144109683412271,4.724939139793929e-08,-3.8733182320597e-10
Cl2F2Ge,"germane, dichlorodifluoro",24422-21-7,221.35,321.35,-0.0190792532658975,0.000177357479702579,1.0459264714631801e-07,-5.01047760427217e-10
Cl2F2Si,"silane, dichlorodifluoro",18356-71-3,229.15,329.15,-0.0204930307108506,0.000175379074095696,2.5868744505915296e-07,-7.02887845267612e-10
Cl2F3P,phosphorus (V) dichloride trifluoride,13454-99-4,150.0,248.15,-0.00887042547599545,0.000158012299041217,4.3425704906532e-09,-3.80102556325595e-10
Cl2O,chlorine monoxide,7791-21-1,152.55,252.55,-0.005263640402905671,7.545010035319e-05,6.031721218385721e-08,-3.3654927137802003e-10
Cl2OS,thionyl chloride,'7719-09-7',295.0,1000.0,-0.00233246759499427,3.8066146225829904e-05,-1.6990269009164497e-09,-8.102081825772109e-13
Cl2OS,thionyl chloride,'7719-09-7',172.15,272.15,-0.007236654648347541,0.00010153595526463399,-7.272066393944709e-09,-2.34894598112705e-10
Cl2OSe,selenium oxychloride,7791-23-3,281.65,381.65,-0.01526401835328,0.00011462877006486699,-3.07644391884026e-08,-1.30522558875484e-10
Cl2O2S,sulfuryl chloride,7791-25-5,295.0,1000.0,-0.00255362090266836,3.7500164391771704e-05,5.01726915971073e-09,-3.91114424119471e-12
Cl2O5S2,pyrosulfuryl chloride,7791-27-7,200.0,300.0,-0.0145682680726413,0.000162676493597409,1.9833150549867398e-07,-6.168543332977799e-10
Cl2O7,chlorine heptoxide,10294-48-1,181.65,281.65,-0.0097495402284295,0.000130674089680368,1.0826788452e-07,-4.2777074508149505e-10
Cl2S,sulfur dichloride,10545-99-0,295.0,1000.0,-0.00206398844615706,3.62916331462372e-05,-3.30467697658585e-09,-9.82122574891726e-13
Cl2S2,sulfur monochloride,10025-67-9,196.15,296.15,-0.00961213369756078,0.000100689383038545,5.69462139909379e-08,-3.3938991508797597e-10
Cl2S3,trisulfur dichloride,31703-09-0,227.15,327.15,-0.0208066528266387,0.000189458043124754,7.70293173288009e-08,-4.704575748595581e-10
Cl3FGe,"germane, trichlorofluoro",24422-20-6,223.35,323.35,-0.0199792827527256,0.000187549830484527,3.64647887024848e-08,-4.1870635472536197e-10
Cl3FSi,"silane, trichlorofluoro",14965-52-7,152.35,252.35,-0.0108366517206573,0.000123945856379963,4.19793016966861e-07,-1.2273048325183401e-09
Cl3F3OSi2,"disiloxane, trichlorotrifluoro",98924-04-0,200.0,300.0,-0.0176987437815785,0.00018849093179683702,3.49626664161135e-07,-8.97562142373698e-10
Cl3Ga,gallium trichloride,13450-90-3,295.0,1000.0,-0.00142829254657421,2.0274727201458802e-05,2.3273930532682898e-09,-1.7807789605188998e-12
Cl3N,nitrogen trichloride,10025-85-1,250.0,1000.0,-0.00519,4.8811e-05,-1.0609e-08,0.0
Cl3OP,phosphorus oxychloride,10025-87-3,295.0,1000.0,-0.0015209986850273,2.51344857448216e-05,-5.65643192236899e-10,-1.2928625098619e-12
Cl3OV,vanadium oxytrichloride,7727-18-6,295.0,1000.0,-0.0013540696735944199,2.46387484451618e-05,-2.7181344970185997e-09,1.38689147447911e-13
Cl3P,phosphorus (III) chloride,'7719-12-2',200.0,1000.0,-0.00153641131725649,3.09810769943215e-05,-1.1549152089651701e-09,-1.7142263300753003e-12
Cl3PS,phosphorus thiochloride,3982-91-0,236.95,336.95,-0.019214750886864,0.00015359407072448002,8.08535605345239e-08,-4.22452230841568e-10
Cl3Sb,antimony trichloride,10025-91-9,295.0,1000.0,-0.000403470286060173,1.4994036830341e-05,-2.1919393706349997e-09,5.416637830396979e-13
Cl4Ge,germanium chloride,10038-98-9,221.65,321.65,-0.0219122940555595,0.00019667069244010702,1.9546109294595e-08,-4.4731417606032603e-10
Cl4OW,tungsten (VI) oxytetrachloride,13520-78-0,450.7,550.7,-0.0578255118394785,0.000263525312092029,-1.3838336688311402e-07,-7.178856626076409e-11
Cl4P2,phosphorous chloride,13497-91-1,245.15,345.15,-0.0199073286643488,0.000168105044923996,8.64652088843714e-08,-4.2383732026263e-10
Cl4Si,silicon tetrachloride,10026-04-7,295.0,650.0,-0.0007384530705763139,5.2908280901752294e-05,-1.0829204340988901e-07,1.19953645192857e-10
Cl4Sn,stannic chloride,7646-78-8,239.08,339.08,-0.0246626750568892,0.000215383038302225,-8.292678378575099e-08,-2.8480379318502696e-10
Cl4Ti,titanium tetrachloride,7550-45-0,249.05,349.05,-0.0239638887636606,0.000198945207888538,-5.36924778334464e-08,-2.7945981143707403e-10
Cl4V,vanadium tetrachloride,7632-51-1,295.0,1000.0,-0.00143379904168053,2.9515786622743896e-05,-3.83824689254588e-09,5.558613344469379e-13
Cl5Mo,molybdenum (V) chloride,10241-05-1,491.15,591.15,-0.0905641841624455,0.000403553984743087,-2.9799242542703e-07,-2.17411484768628e-12
Cl5Nb,niobium (V) chloride,10026-12-7,477.15,577.15,-0.0861336835969384,0.000393129591156911,-2.87300238385713e-07,-1.17136490081479e-11
Cl5P,phosphorus pentachloride,10026-13-8,433.15,533.15,-0.0766308346096382,0.000375365891668209,-2.52007116352884e-07,-5.7354819256050305e-11
Cl5Sb,antimony pentachloride,7647-18-9,275.95,375.95,-0.0246501107380748,0.000182269763665232,9.594356648037271e-09,-2.93832297349252e-10
Cl6Si2,"disilane, hexachloro",13465-77-5,271.95,371.95,-0.0308086133083257,0.00021120955671479098,2.46887977963375e-07,-6.64126282188138e-10
Cl8Si3,octachlorotrisilane,13596-23-1,200.0,300.0,-0.0169065884069671,0.00020531268675235,1.8864287393061198e-07,-7.05654543627823e-10
Cs,cesium,7440-46-2,1000.0,1500.0,0.0281900000000002,-4.7985000000000504e-05,3.63250000000004e-08,-8.25000000000012e-12
D2,deuterium,7782-39-0,233.15,1500.0,0.0373186529985461,0.000355029241299588,-1.06343020119404e-07,3.4037329363561204e-11
D2O,deuterium oxide,7789-20-0,276.94,772.67,-0.0062280083910011795,9.42860657295074e-05,-6.956016782001309e-08,1.03800139850005e-10
D3N,heavy ammonia,13550-49-7,197.15,297.15,-0.0259937470651182,0.000289061423654461,-1.26938394737782e-07,-4.57814295312115e-10
FNO,nitrosyl fluoride,7789-25-5,150.0,240.65,-0.0242559477239526,0.000188563062603696,-4.3003409150664595e-08,-5.085748750641159e-10
FNO2,nitryl fluoride,10022-50-1,150.0,207.15,-0.00334303623184262,7.84021426787172e-05,1.4160248223517002e-07,-5.52666804400143e-10
FNO3,fluorine nitrate,7789-26-6,150.0,198.15,-0.00320513667648026,7.94344254368629e-05,2.57753101292512e-07,-8.30196617412279e-10
F2,fluorine,7782-41-4,70.0,1500.0,-0.00441070365454778,0.000126359091195836,-7.96537220630076e-08,3.0842353037795893e-11
F2N2,trans-difluorodiazine,13776-62-0,150.0,201.15,-0.00466960657853215,0.00010200706535199301,2.2127110936760398e-07,-8.50627874991216e-10
F2N2,cis-difluorodiazine,13812-43-6,150.0,200.0,-0.0026579208765899896,7.207854618573009e-05,1.5629873070827001e-07,-5.58067256789725e-10
F2O,fluorine oxide,7783-41-7,150.0,149.35,-0.00161965251908389,0.000124782474279867,-5.9593172732145704e-08,-5.09902968673357e-10
F2OS,thionyl fluoride,7783-42-8,150.0,243.65,-0.0054377301564617,6.94185980089992e-05,2.77943065448022e-07,-7.41555279168759e-10
F2OSe,selenium oxyfluoride,7783-43-9,288.15,388.15,-0.0111406333562219,7.12409478657393e-05,6.711582217331551e-08,-1.93506452235489e-10
F2O2,difluorine dioxide,7783-44-0,150.0,219.15,-0.005234561122728279,8.49690710126775e-05,2.5684923838304e-07,-8.41979590777414e-10
F2O2S,sulfuryl fluoride,2699-79-8,150.0,237.35,-0.004914497802050771,5.22111858815096e-05,5.1745205375295e-07,-1.15503536454955e-09
F2O2Se,selenium dioxydifluoride,14984-81-7,173.65,273.65,-0.00902735875521607,0.000120174655623334,4.1866437348747905e-08,-3.35136699752864e-10
F2S2,difluorodisulfane,13709-35-8,150.0,240.15,-0.00519771640902296,7.25456058915896e-05,2.1529922386322604e-07,-6.645445836847639e-10
F2S2,"1,1 difluorodisulfane",101947-30-2,150.0,208.55,-0.00336864591117932,6.28018690812599e-05,2.4056567334600503e-07,-7.55797953102131e-10
F2Xe,xenon difluoride,13709-36-9,402.18,502.18,-0.0210641627207814,0.00010323548170438101,-2.4535746818271097e-08,-7.2596899405427e-11
F3N,nitrogen trifluoride,7783-54-2,144.09,1000.0,-0.00390817247795729,6.97809173838281e-05,1.90672759271509e-08,-2.11731898907834e-11
F3NO,trifluoramine oxide,13847-65-9,150.0,212.15,-0.0044000456799267295,0.000125729012685051,-6.0613558986671e-08,-2.1097622238740702e-10
F3P,phosphorus (III) fluoride,7783-55-3,150.0,221.65,-0.00624903984340154,9.83712339928622e-05,3.8259631986003203e-07,-1.11089611071234e-09
F3PS,phosphorus (V) sulfide trifluoride,2404-52-6,150.0,224.35,-0.00571550154189055,7.052896245717621e-05,5.71176788000774e-07,-1.4111627169427302e-09
F4Ge,germanium (IV) fluoride,7783-58-6,258.15,358.15,-0.0262973211547391,0.000181371588968247,2.02644219861265e-07,-6.03831403695442e-10
F4MoO,molybdenum (VI) oxytetrafluoride,14459-59-7,371.15,471.15,-0.0205428203896785,7.25166420931234e-05,2.1393508719609198e-07,-3.25642208417412e-10
F4N2,tetrafluorohydrazine,10036-47-2,198.95,1000.0,-0.0060720908872630396,6.46531539392192e-05,2.39918270098921e-08,-2.1982731344449398e-11
F4OW,tungsten (VI) oxytetrafluoride,13520-79-1,379.15,479.15,-0.0261550938646582,0.00012233275804547,3.49481785114232e-08,-1.6712590823850498e-10
F4P2,phosphorous difluoride,13824-74-3,186.65,286.65,-0.0122737650945453,0.000144384381674541,2.3724556955926799e-07,-6.72826009636628e-10
F4S,sulfur tetrafluoride,7783-60-0,150.0,248.15,-0.00654972104988161,6.19344574232784e-05,5.38876426232842e-07,-1.2345752854582401e-09
F4Se,selenium tetrafluoride,13465-66-2,263.15,363.15,-0.00899814546819076,5.6692930135882803e-05,1.6312938052490402e-07,-3.18834570790844e-10
F4Si,silicon tetrafluoride,7783-61-1,295.0,702.45,-0.0019430821708739602,5.98589532130655e-05,-3.922935536419981e-09,5.86930830336207e-13
F4Xe,xenon tetrafluoride,13709-61-0,390.25,490.25,-0.0245085821779195,9.402809273488191e-05,1.50414095393904e-07,-2.64083892350291e-10
F5I,iodine pentafluoride,7783-66-6,282.58,382.58,-0.0215283495751427,0.00013274284132579398,9.76388386870067e-08,-3.41638122320574e-10
F5Mo,molybdenum (V) fluoride,13819-84-6,340.15,440.15,-0.025177631894859,0.000130296806096952,7.10373440964049e-08,-2.45535186642541e-10
F5Nb,niobium (V) fluoride,7783-68-8,452.15,552.15,-0.0461363132473458,0.000153814898135619,1.65149287335064e-07,-2.9501262989255e-10
F5P,phosphorus (V) fluoride,7647-19-0,179.35,279.35,-0.0100773514574422,5.62982293897463e-05,8.919525427702759e-07,-1.68115744419417e-09
F5Ru,ruthenium (V) fluoride,14521-18-7,450.15,550.15,-0.0308284925741063,0.00010332892850083001,1.1429009144883302e-07,-2.02440168477496e-10
