molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
C13H12,2-methylbiphenyl,643-58-3,150.0,1500.0,161.631445262,-1.0019570609161,0.0063468537051618,-1.1962724358952e-05,1.1095938449965e-08,-5.1344625772286e-12,9.4464039670293e-16
C13H12,methylbiphenyl,28652-72-4,150.0,1500.0,161.631445262,-1.0019570609161,0.0063468537051618,-1.1962724358952e-05,1.1095938449965e-08,-5.1344625772286e-12,9.4464039670293e-16
C13H14,1-propylnaphthalene,2765-18-6,150.0,1500.0,206.91805638294,-1.3085520698904,0.0076806572473862,-1.4517700634224e-05,1.3590062763563e-08,-6.3370429467246e-12,1.1718185835002e-15
C13H14,2-propylnaphthalene,2027-19-2,150.0,1500.0,199.70531117976,-1.2134057458954,0.0072715988640143,-1.3753035259157e-05,1.2875664183833e-08,-6.0086171786514e-12,1.1125458246705e-15
C13H14,1-isopropylnaphthalene,6158-45-8,150.0,1500.0,206.60523168302,-1.3402996712127,0.0077889999397093,-1.4786321213176e-05,1.3934237091558e-08,-6.5423416658937e-12,1.2173202873256e-15
C13H14,2-isopropylnaphthalene,2027-17-0,150.0,1500.0,206.60523168302,-1.3402996712127,0.0077889999397093,-1.4786321213176e-05,1.3934237091558e-08,-6.5423416658937e-12,1.2173202873256e-15
C13H14,1-methyl-2-ethylnaphthalene,25607-16-3,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,1-methyl-3-ethylnaphthalene,17179-41-8,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,1-methyl-4-ethylnaphthalene,27424-87-9,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,1-methyl-5-ethylnaphthalene,17057-92-0,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,1-methyl-6-ethylnaphthalene,17059-53-9,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,1-methyl-7-ethylnaphthalene,2451-07-05 00:00:00,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,1-methyl-8-ethylnaphthalene,61886-71-3,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,2-methyl-3-ethylnaphthalene,31032-94-7,150.0,1500.0,181.32891136503,-0.95885015943764,0.0061923007019147,-1.1725318419752e-05,1.0958065153154e-08,-5.1138015228608e-12,9.4852933561172e-16
C13H14,2-methyl-4-ethylnaphthalene,17057-94-2,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,2-methyl-6-ethylnaphthalene,7372-86-3,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,2-methyl-7-ethylnaphthalene,17059-55-1,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,2,3-trimethylnaphthalene",879-12-9,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,2,4-trimethylnaphthalene",2717-42-2,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,2,5-trimethylnaphthalene",641-91-8,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,2,6-trimethylnaphthalene",3031-05-08 00:00:00,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,2,7-trimethylnaphthalene",486-34-0,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,2,8-trimethylnaphthalene",3876-97-9,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
