molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
K2O7U2,potassium uranate,7790-63-8,150.0,1500.0,139.13912105415,-0.17379724129901,0.0015425975635741,-3.1112174027146E-06,2.9671410071857E-09,-1.3969848014838E-12,2.6059175369268E-16
K2O4W,potassium tungstate,7790-60-5,150.0,1500.0,86.513529875106,-0.010200950729158,0.00056546482687828,-1.2675552169383E-06,1.2643640002925E-09,-6.1207079467329E-13,1.1645460529859E-16
AsK3O4,potassium arsenate,13464-36-3,150.0,1500.0,100.93003004396,0.0046400980637558,0.00059600902666203,-1.3787378373479E-06,1.3922134958708E-09,-6.7831595850313E-13,1.2953114521443E-16
C6CoK3N6,potassium hexacyanocobaltate,13963-58-1,150.0,1500.0,225.46935125025,-0.98745795536973,0.0055251711209326,-1.0727286839937E-05,1.019963002716E-08,-4.7826915253783E-12,8.838358213745E-16
C6FeK3N6,potassium ferricyanide,13746-66-2,150.0,1500.0,225.46935125025,-0.98745795536973,0.0055251711209326,-1.0727286839937E-05,1.019963002716E-08,-4.7826915253783E-12,8.838358213745E-16
C6H5K3O7,potassium citrate,866-84-2,150.0,1500.0,258.49421817142,-1.2890199397725,0.0068787616630847,-1.29923735352E-05,1.2207001250328E-08,-5.7127015593016E-12,1.0596079027281E-15
C6H6CrK3O15,potassium chromium (III) oxalate trihydrate,15275-09-9,150.0,1500.0,381.94860240781,-1.7915673496321,0.0096366870782689,-1.8077512221973E-05,1.6860712963335E-08,-7.8509436185657E-12,1.4521445462124E-15
C6H6K3O15Sb,potassium antimony oxalate trihydrate,5965-33-3,150.0,1500.0,381.94860240781,-1.7915673496321,0.0096366870782689,-1.8077512221973E-05,1.6860712963335E-08,-7.8509436185657E-12,1.4521445462124E-15
C6H7K3O8,potassium citrate monohydrate,6100-05-6,150.0,1500.0,285.52453127059,-1.4316101605207,0.007600581410671,-1.427788784419E-05,1.3384088132094E-08,-6.2633511371424E-12,1.1632250678606E-15
C60K3,potassium fullerene,137232-17-8,150.0,1500.0,1015.9353125361,-8.6983233078302,0.042813173906139,-8.1180442018077E-05,7.6538781965861E-08,-3.5696132488883E-11,6.5643766304949E-15
Cl6K3Ru,potassium hexachlororuthenate (III),25443-63-4,150.0,1500.0,139.32323685315,0.08250965205089,0.00055072633930123,-1.534981591955E-06,1.6472744859638E-09,-8.2088053862469E-13,1.5749841641538E-16
CoK3N6O12,potassium hexanitritocobalt (III),66942-97-0,150.0,1500.0,280.26899153734,-0.8086034315312,0.004960542554015,-9.4349191419869E-06,8.7619079366427E-09,-4.0531382131381E-12,7.4581130448948E-16
H9K3O4.5S4Sb,potassium thioantimonate heminonahydrate,14693-02-8,150.0,1500.0,231.86946924881,-0.59160095949585,0.0037402858619976,-7.0805902423681E-06,6.6608752576799E-09,-3.1503588229176E-12,5.9438943587579E-16
K3N6O12Rh,potassium hexanitritorhodate (III),17712-66-2,150.0,1500.0,280.26899153734,-0.8086034315312,0.004960542554015,-9.4349191419869E-06,8.7619079366427E-09,-4.0531382131381E-12,7.4581130448948E-16
K3O4P,potassium phosphate,7778-53-2,150.0,1500.0,103.90360650667,-0.063932774364645,0.00091895536902692,-2.0242667555966E-06,2.0301317468658E-09,-9.8563969090609E-13,1.8721849847391E-16
BiI7K4,potassium heptaiodobismuthate,41944-01-8,150.0,1500.0,167.17438560673,0.27433707150944,-0.00020340289229294,1.1221689773454E-07,-1.4560629734815E-10,1.065384822441E-13,-2.5487647454115E-17
C6H6FeK4N6O3,potassium ferrocyanide trihydrate,14459-95-1,150.0,1500.0,320.9767906936,-1.4003875684374,0.007721174561523,-1.4695012382946E-05,1.3858740163228E-08,-6.5008854201885E-12,1.2077638561715E-15
H6K4O10P2,potassium pyrophosphate trihydrate,7320-34-5,150.0,1500.0,255.01021359085,-0.70903155041599,0.0044150378886037,-8.4811834024632E-06,8.0299371406371E-09,-3.7960713248319E-12,7.1297103490451E-16
H6K4O19S4Zr,potassium zirconium sulfate trihydrate,53608-79-0,150.0,1500.0,409.52231847133,-1.3145403891985,0.0077365726356078,-1.4503392410768E-05,1.3422707820007E-08,-6.223530113579E-12,1.151030139502E-15
H3K5O18S4,potassium peroxymonosulfate,37222-66-5,150.0,1500.0,375.34503068171,-1.13039461504,0.0068116077724463,-1.286386754617E-05,1.1919565421065E-08,-5.5173338900537E-12,1.0174478271084E-15
K5O10P3,potassium triphosphate,13845-36-8,150.0,1500.0,243.9349421243,-0.4985890027157,0.0035802019264117,-7.2250142037823E-06,6.9672212530451E-09,-3.3026054965933E-12,6.1702058153144E-16
KO3P,potassium hexametaphosphite,7790-53-6,150.0,1500.0,412.41258154531,-1.1207763297461,0.007195453850818,-1.4226276947242E-05,1.3592180684561E-08,-6.4060075967424E-12,1.1918837568489E-15
H32K8Nb6O35,potassium niobate hexadecahydrate,12502-31-7,150.0,1500.0,868.62549627827,-3.0205796412646,0.017183509662701,-3.1721190794842E-05,2.937873609752E-08,-1.3744505047153E-11,2.5734742268554E-15
Kr,krypton,7439-90-9,150.0,1500.0,20.786,0.0,0.0,0.0,0.0,0.0,0.0
F2Kr,krypton difluoride,13773-81-4,150.0,1500.0,38.815294745174,0.002930955993227,0.00026205977414866,-7.0179185975247E-07,7.8582138251222E-10,-4.1001094604598E-13,8.1745398401223E-17
