molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
C7H16O2,"2,3-heptanediol",21508-07-6,259.79,584.16,181.94235100783,1.3594511742619,-0.0035569326954624,4.0489823503631e-06,0.0
C7H16O2,"2,4-heptanediol",20748-86-1,259.79,584.16,177.62005346614,1.3927824383144,-0.0036512737991454,4.1535299393705e-06,0.0
C7H16O2,"2,6-heptanediol",5969-12-23 00:00:00,259.79,584.16,181.94235100783,1.3594511742619,-0.0035569326954624,4.0489823503631e-06,0.0
C7H16O2,"2-methyl-1,2-hexanediol",56255-50-6,292.21,569.44,128.08948052101,1.702892682993,-0.0044190841029242,4.8163739455976e-06,0.0
C7H16O2,"2-methyl-2,4-hexanediol",66225-35-2,277.21,597.15,182.94073392086,1.2783315625375,-0.0032402508561226,3.6153414920014e-06,0.0
C7H16O2,"2-methyl-2,5-hexanediol",29044-06-2,309.65,597.15,131.60146030445,1.5086349271895,-0.0037056381665694,3.8459254217602e-06,0.0
C7H16O2,"3-methyl-1,6-hexanediol",4089-71-8,274.79,556.71,131.66019029236,1.7597571048751,-0.0047477965654066,5.3657986995565e-06,0.0
C7H16O2,"3-methyl-3,4-hexanediol",18938-47-1,277.21,597.15,187.49921946949,1.2441526040985,-0.0031465283781756,3.5134933062347e-06,0.0
C7H16O2,"4-methyl-1,5-hexanediol",66225-37-4,259.79,584.16,181.94235100783,1.3594511742619,-0.0035569326954624,4.0489823503631e-06,0.0
C7H16O2,"4-methyl-2,4-hexanediol",38836-25-8,271.15,597.15,191.46443057755,1.21654380556,-0.0030856913832516,3.4704177376063e-06,0.0
C7H16O2,"5-methyl-1,5-hexanediol",1462-11-9,292.21,569.44,128.09251478986,1.702933022248,-0.0044191887851289,4.8164880390685e-06,0.0
C7H16O2,"5-methyl-2,4-hexanediol",54877-00-8,244.79,611.79,219.15650072398,1.0713102497987,-0.0027112788568311,3.1101613024764e-06,0.0
C7H16O2,"2-ethyl-1,3-pentanediol",29887-11-4,258.42,571.67,163.04847641579,1.5364887228872,-0.0041068020560528,4.7029744672525e-06,0.0
C7H16O2,"2-ethyl-1,5-pentanediol",14189-13-0,274.79,556.71,131.66019029236,1.7597571048751,-0.0047477965654066,5.3657986995565e-06,0.0
C7H16O2,"3-ethyl-2,3-pentanediol",66225-32-9,277.21,554.38,127.47214370169,1.6760363671699,-0.0045071970235979,5.1360557917278e-06,0.0
C7H16O2,"3-ethyl-2,4-pentanediol",66225-33-0,244.79,553.79,167.41269995099,1.4175525625004,-0.0038775220374422,4.5914876317703e-06,0.0
C7H16O2,"2,2-dimethyl-1,3-pentanediol",2157-31-5,331.15,560.91,28.979298721945,2.2230207475012,-0.0055812499610036,5.6213145711628e-06,0.0
C7H16O2,"2,2-dimethyl-1,5-pentanediol",3121-82-2,292.21,569.44,128.08643987937,1.7028522590144,-0.0044189792008578,4.8162596124988e-06,0.0
C7H16O2,"2,3-dimethyl-1,3-pentanediol",66225-52-3,277.21,597.15,187.49921946949,1.2441526040985,-0.0031465283781756,3.5134933062347e-06,0.0
C7H16O2,"2,3-dimethyl-2,3-pentanediol",6931-70-0,294.63,610.49,183.05087934521,1.2019628383995,-0.0029203941320569,3.1418325336121e-06,0.0
C7H16O2,"DL-2,4-dimethyl-1,5-pentanediol",54630-82-9,259.79,584.16,181.94235100783,1.3594511742619,-0.0035569326954624,4.0489823503631e-06,0.0
C7H16O2,"meso-2,4-dimethyl-1,5-pentanediol",2121-69-9,259.79,584.16,181.94235100783,1.3594511742619,-0.0035569326954624,4.0489823503631e-06,0.0
C7H16O2,"2,4-dimethyl-2,3-pentanediol",66225-53-4,332.15,531.66,-23.708594805237,2.6151330198048,-0.0067765141832992,6.9277454669027e-06,0.0
C7H16O2,"2,4-dimethyl-2,4-pentanediol",24892-49-7,271.15,545.65,146.59274844711,1.447641147216,-0.0039034970814402,4.5492171776294e-06,0.0
C7H16O2,"3,3-dimethyl-1,5-pentanediol",53120-74-4,292.21,569.44,128.06188210901,1.7025257743783,-0.0044181319583511,4.8153362001718e-06,0.0
C7H16O2,"3,4-dimethyl-1,4-pentanediol",63521-36-8,277.21,597.15,187.49921946949,1.2441526040985,-0.0031465283781756,3.5134933062347e-06,0.0
C7H16O2,"4,4-dimethyl-1,2-pentanediol",66225-54-5,277.21,597.15,187.49921946949,1.2441526040985,-0.0031465283781756,3.5134933062347e-06,0.0
C7H16O2,"erythro-4,4-dimethyl-2,3-pentanediol",23646-57-3,347.15,625.06,105.95251560547,1.6233604603231,-0.003717534928888,3.5338785621615e-06,0.0
C7H16O2,"threo-4,4-dimethyl-2,3-pentanediol",23646-58-4,350.15,625.06,100.00400302989,1.6593490334062,-0.0037899315915506,3.5808575795625e-06,0.0
C7H16O2,"2-propyl-1,4-butanediol",62946-68-3,274.79,556.71,131.66019029236,1.7597571048751,-0.0047477965654066,5.3657986995565e-06,0.0
C7H16O2,"2-isopropyl-1,4-butanediol",39497-66-0,259.79,584.16,181.94235100783,1.3594511742619,-0.0035569326954624,4.0489823503631e-06,0.0
C7H16O2,"2-sec-butyl-1,3-propanediol",33673-01-7,322.15,584.16,74.411617087232,1.9338213994435,-0.0047895472916367,4.830819326463e-06,0.0
C7H16O2,"2-methyl-2-propyl-1,3-propanediol",78-26-2,328.85,587.41,69.455917673323,1.9481871236325,-0.0047662353275056,4.7474058786781e-06,0.0
C7H16O2,"2,2-diethyl-1,3-propanediol",115-76-4,334.55,584.3,-7.3166096227708,2.4836925406307,-0.0061151795051215,6.0024526741757e-06,0.0
C7H16O2,1-butoxy-2-propanol,5131-66-8,257.7,531.33,141.98358937051,0.88967370805891,-0.0023766575456621,2.9680300167466e-06,0.0
C7H16O2,2-(pentyloxy)ethanol,6196-58-3,257.7,538.08,142.07751277521,1.1167435074237,-0.0030244585263873,3.6632635940594e-06,0.0
C7H16O2,1-tert-butoxy-2-propanol,57018-52-7,217.25,519.1,144.80210394397,0.51963695661082,-0.0013579790098184,1.9039539260391e-06,0.0
C7H16O2,1-isobutoxy-2-propanol,23436-19-3,217.25,519.1,144.80210394397,0.51963695661082,-0.0013579790098184,1.9039539260391e-06,0.0
C7H16O2,"propylene glycol butyl ether, isomers",29387-86-8,257.7,530.58,140.39412196244,0.87811469415749,-0.0023446063443557,2.9369661494578e-06,0.0
C7H16O2,1-butoxy-2-methoxyethane,13343-98-1,257.7,519.04,129.43749235166,0.63407056306976,-0.0016550141116548,2.1846727131329e-06,0.0
C7H16O2,3-butoxy-1-propanol,10215-33-5,257.7,553.89,112.81106699829,2.0097443995138,-0.0055877637472539,6.3130703835097e-06,0.0
C7H16O2,N-butoxypropanol (mixed isomers),63716-40-5,257.7,553.89,112.81106699829,2.0097443995138,-0.0055877637472539,6.3130703835097e-06,0.0
