molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
CBrClF2,bromochlorodifluoromethane,353-59-3,115.0,384.0,66.842,0.42713,-0.0017526,3.3738e-06,0.0
CBrCl3,bromotrichloromethane,75-62-7,253.0,545.0,51.035,0.71628,-0.0019205,2.095e-06,0.0
CBrF3,bromotrifluoromethane,75-63-8,177.59,299.82,-215.0283384046,4.0167891540944,-0.017725760187017,2.687517283009e-05,1.5472598421147e-09
CBr2F2,dibromodifluoromethane,75-61-6,163.05,386.97,75.730213910849,0.31784193721468,-0.0010498399133756,1.8409459895563e-06,0.0
CBr4,carbon tetrabromide,558-13-4,368.65,488.88,8719.7231812743,-82.622008223863,0.29666043545411,-0.00047069810767588,2.7902346690811e-07
CClF3,chlorotrifluoromethane,75-72-9,205.37,272.04,-502.82344204221,5.6025605810253,-0.01095857978818,-3.9791823367152e-05,1.3171859469413e-07
CClN,cyanogen chloride,506-77-4,266.65,367.5,17.369037293078,0.71433037341302,-0.0024556738927976,3.5231268201459e-06,0.0
CCl2F2,dichlorodifluoromethane,75-71-8,172.04,363.71,668.436940418,-10.228091467907,0.067435909189517,-0.0001942349759709,2.091254983445e-07
CCl2O,phosgene,75-44-5,149.26,298.14,-308.59965775156,7.6229981386921,-0.05079085066474,0.00014390887873268,-1.4658995958793e-07
CCl3F,trichlorofluoromethane,75-69-4,166.48,438.71,165.57745739517,-1.4210622240603,0.010773508828733,-3.2179935239158e-05,3.4681587248454e-08
CCl4,carbon tetrachloride,56-23-5,280.0,520.0,157.76891905503,-0.7941063828995,0.0050319919746879,-1.2654223852107e-05,1.2413244862616e-08
CF2O,carbonyl fluoride,353-50-4,163.0,267.0,-33.419,1.9984,-0.010073,1.9136e-05,0.0
CF4,carbon tetrafluoride,75-73-0,145.21,202.04,-727.08131357125,14.846581766394,-0.091297520087764,0.00018396314994389,2.9911310333015e-08
CHBr3,bromoform,75-25-2,282.0,626.0,24.236,0.71569,-0.0016914,1.6314e-06,0.0
CHClF2,chlorodifluoromethane,75-45-6,188.71,355.37,1990.0715727168,-32.443202771727,0.20603924313544,-0.00057697238469267,6.0303477797671e-07
CHCl2F,dichlorofluoromethane,75-43-4,273.15,440.0,2066.7658962159,-25.245416029915,0.12100477001908,-0.00025710150069254,2.0570848046169e-07
CHCl3,chloroform,67-66-3,223.15,505.0,145.07435298518,-0.56415021575535,0.0036599831236968,-1.0309206442892e-05,1.1131090111639e-08
CHF3,fluoroform,75-46-7,118.02,283.15,443.29604879402,-7.9557671143499,0.065411178156459,-0.00023874883211541,3.3061062333772e-07
CHI3,iodoform,75-47-8,396.16,642.86,63.813017943722,0.28404698302497,-0.00055675433759536,5.5933971564444e-07,0.0
CHN,hydrogen cyanide,74-90-8,266.53,314.63,-23871.859341681,322.21092080196,-1.6218204336933,0.0036175138873908,-3.0158915841002e-06
CH2BrCl,bromochloromethane,74-97-5,185.2,449.1,67.744622305484,0.18904969107152,-0.00051097278643454,8.5888543201521e-07,0.0
CH2Br2,dibromomethane,74-95-3,221.88,394.19,-356.23953093322,5.9945483752512,-0.028540674659964,5.8664156432973e-05,-4.347720587705e-08
CH2ClF,chlorofluoromethane,593-70-4,141.0,294.0,86.915,-0.036025,0.00026561,0.0,0.0
CH2Cl2,dichloromethane,1975-09-02 00:00:00,200.58,332.61,-275.17289955745,4.848856072818,-0.022882453794143,4.5183613997664e-05,-2.977925762384e-08
CH2F2,difluoromethane,1975-10-05 00:00:00,137.0,327.59,344.85435614589,-5.4287974073423,0.041667728480977,-0.00014143436838372,1.7983485448781e-07
CH2I2,diiodomethane,1975-11-06 00:00:00,280.0,672.0,47.997,0.5569,-0.00125,1.1654e-06,0.0
CH2O,formaldehyde,1950-10-23 00:00:00,189.65,269.45,-1975.6714591146,36.930583082381,-0.24908592112771,0.00074275142690787,-8.231796823468e-07
CH2O2,formic acid,64-18-6,287.35,395.14,-1705.7984513696,20.605292896356,-0.08763823497266,0.00016429303703063,-1.1406539895235e-07
CH3Br,methyl bromide,74-83-9,201.35,295.74,32.752258818238,-0.87180835879261,0.014791678957399,-6.502109725203e-05,9.0823243495425e-08
CH3Cl,methyl chloride,74-87-3,175.0,320.0,14.648313717468,0.90522344299627,-0.0050419337496949,1.1968710565076e-05,-9.203770708458e-09
CH3Cl3Si,methyl trichlorosilane,75-79-6,196.0,465.0,54.416,0.88694,-0.0028583,3.8406e-06,0.0
CH3F,methyl fluoride,593-53-3,131.35,256.26,50.358077996834,0.31173516236623,-0.0014912601545471,4.2751035401145e-06,0.0
CH3I,methyl iodide,74-88-4,208.0,475.0,24.062,0.46459,-0.0014583,1.8792e-06,0.0
CH3NO,formamide,1975-12-07 00:00:00,284.43,520.8,419.26087044254,-3.6328347987372,0.015112929696424,-2.6805686819481e-05,1.7539780314286e-08
CH3NO2,nitromethane,75-52-5,246.38,395.73,105.34557003482,-0.53182722078015,0.0044867313074569,-1.3005378259819e-05,1.3291493795259e-08
CH4,methane,74-82-8,92.0,178.0,-121.87549904049,4.5109702719761,-0.03848079643225,0.00010974321221414,6.7277683556757e-09
CH4Cl2Si,methyl dichlorosilane,75-54-7,184.0,435.0,66.188,0.68839,-0.0023767,3.3997e-06,0.0
CH4O,methyl alcohol,67-56-1,175.47,480.0,428.90160946215,-5.3315696879553,0.028462816871032,-6.4886569976356e-05,5.4859950322203e-08
CH4S,methyl mercaptan,74-93-1,161.67,298.19,-344.50119513435,7.5097770373762,-0.047661008638756,0.00013049369682657,-1.2962665328199e-07
CH5ClSi,methyl chlorosilane,993-00-0,140.0,398.0,68.963,0.60183,-0.0023367,4.0231e-06,0.0
CH5N,methylamine,74-89-5,188.92,283.14,-1198.8668824766,21.500616116027,-0.13213111985031,0.00035622141550663,-3.5376998254396e-07
CH6Si,methyl silane,992-94-9,116.34,284.38,63.958148857634,0.2054264972649,-0.00082133669271292,2.5699549294852e-06,0.0
CI4,carbon tetraiodide,507-25-5,444.15,776.35,91.001660284203,0.22493295681137,-0.00035905260561758,3.216344699429e-07,0.0
CN4O8,tetranitromethane,509-14-8,287.05,469.43,-37.291491610561,2.1323423360372,-0.006386877736974,7.6733739439049e-06,0.0
CO,carbon monoxide,630-08-0,81.66,125.0,-278.94805067464,14.141487126395,-0.21415683856893,0.001370382423916,-3.0084055089001e-06
COS,carbonyl sulfide,463-58-1,143.75,238.58,-797.19761749133,18.371506662346,-0.14329045724147,0.00048804334893789,-6.1176313455515e-07
CO2,carbon dioxide,124-38-9,216.58,290.0,-4287.9908681431,44.998284678335,-0.10795938102372,-0.00018213199391461,6.961564003987e-07
CS2,carbon disulfide,75-15-0,192.37,342.63,-20.887548758817,0.85019553202914,-0.0013104391143001,-5.6747880821414e-06,1.3997325643294e-08
C2BrF3,bromotrifluoroethylene,598-73-2,170.0,351.33,51.669525002128,0.62424702553806,-0.0023225646406546,4.027815203484e-06,0.0
C2Br2F4,"1,2-dibromotetrafluoroethane",124-73-2,164.0,439.0,72.862,0.78843,-0.0027534,4.1741e-06,0.0
C2ClF3,chlorotrifluoroethylene,79-38-9,116.0,341.0,58.305,0.64342,-0.0029048,5.978e-06,0.0
C2ClF5,chloropentafluoroethane,76-15-3,175.0,318.0,-17.172,1.8274,-0.0080452,1.3663e-05,0.0
C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,233.15,388.71,-643.4612435299,8.2679381428634,-0.02903419161553,3.5082714451475e-05,-8.10930081828e-10
C2Cl2F4,"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,216.58,347.44,25.255962318101,1.1507208651822,-0.0042539993758289,6.5625768702191e-06,0.0
C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,277.59,449.82,-506.94799986235,6.1308792532823,-0.018840007218003,2.0584588799494e-05,-1.5907600386778e-09
C2Cl3F3,"1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,287.14,403.36,43.153128088631,0.96053616228751,-0.0030245394861219,4.1255324506307e-06,0.0
C2Cl4,tetrachloroethylene,127-18-4,261.98,416.96,3749.9237211228,-43.672422207646,0.19371160113518,-0.00037422781604548,2.6773506909866e-07
C2Cl4F2,"1,1,2,2-tetrachloro-1,2-difluoroethane",1976-12-23 00:00:00,310.53,384.5,1465.1365854403,-19.304789220687,0.10225168382396,-0.00023191364520722,1.9321308773043e-07
C2Cl4F2,"1,1,1,2-tetrachloro-2,2-difluoroethane",1976-11-09 00:00:00,313.75,462.58,60.655362795892,0.78539621765963,-0.0021649498811542,2.6674318102343e-06,0.0
C2Cl4O,trichloroacetyl chloride,1976-02-08 00:00:00,201.0,531.0,78.666,0.65083,-0.0018623,2.3259e-06,0.0
C2Cl5F,pentachlorofluoroethane,354-56-3,373.15,520.58,40.576268429661,0.91726584139109,-0.002235038050205,2.3350151332532e-06,0.0
C2Cl6,hexachloroethane,67-72-1,459.95,579.0,-68.15023958694,1.4962415602625,-0.0032300416851945,2.7537760106354e-06,0.0
C2F4,tetrafluoroethylene,116-14-3,143.0,276.0,-4.776,1.5284,-0.007907,1.6018e-05,0.0
C2F6,hexafluoroethane,76-16-4,173.0,264.0,-152.019,3.8878,-0.019409,3.5499e-05,0.0
C2HBrClF3,halothane,151-67-7,201.0,469.0,45.066,0.87711,-0.0027885,3.6941e-06,0.0
C2HClF2,"2-chloro-1,1-difluoroethylene",359-10-4,134.65,327.55,53.547109824608,0.58595398918987,-0.00241289374144,4.4607576234786e-06,0.0
C2HClF4,"1-chloro-1,1,2,2-tetrafluoroethane",354-25-6,156.15,330.71,47.945643521753,0.89076090694608,-0.0036098799842173,6.2615442090853e-06,0.0
C2HClF4,"2-chloro-1,1,1,2-tetrafluoroethane",2837-89-0,172.04,383.15,1190.5717463565,-18.838861084962,0.12253155568893,-0.00034641149198838,3.6265602161631e-07
C2HCl2F3,"1,1-dichloro-1,2,2-trifluoroethane",812-04-4,255.51,392.16,59.641435946617,0.7032245890702,-0.0022565805792148,3.3329295438604e-06,0.0
C2HCl2F3,"1,2-dichloro-1,1,2-trifluoroethane",354-23-4,195.15,380.5,64.328829719448,0.81866132311905,-0.0028541346135645,4.4965991964859e-06,0.0
C2HCl2F3,"2,2-dichloro-1,1,1-trifluoroethane",306-83-2,177.59,427.59,596.10063474089,-7.1783803625971,0.041080759720569,-0.00010148170333008,9.3388350509779e-08
C2HCl3,trichloroethylene,1979-01-06 00:00:00,205.78,381.19,-66.397482756135,2.4332693071376,-0.012207351208714,2.7363301933391e-05,-2.198771032823e-08
C2HCl3F2,"1,1,1-trichloro-2,2-difluoroethane",354-12-1,253.28,438.43,79.239705526094,0.5976121355782,-0.0017647059137286,2.5088308781817e-06,0.0
C2HCl3F2,"1,1,2-trichloro-1,2-difluoroethane",354-15-4,253.28,437.83,76.663145847277,0.58972045140814,-0.0017446182848909,2.4804746818669e-06,0.0
C2HCl3F2,"1,2,2-trichloro-1,1-difluoroethane",354-21-2,253.28,437.03,77.068627475253,0.5874600373758,-0.0017393008784311,2.4741816414354e-06,0.0
C2HCl3O,dichloroacetyl chloride,79-36-7,230.0,480.58,89.227364620539,0.39133553165262,-0.0010702968293754,1.5380106594309e-06,0.0
C2HCl3O,trichloroacetaldehyde,75-87-6,217.0,509.0,49.423,0.77236,-0.0022695,2.7747e-06,0.0
C2HCl4F,"1,1,1,2-tetrachloro-2-fluoroethane",354-11-0,177.8,494.38,114.64640561392,0.32161215453167,-0.00084652729964426,1.330554486752e-06,0.0
C2HCl4F,"1,1,2,2-tetrachloro-1-fluoroethane",354-14-3,190.55,493.88,115.8110747989,0.31561263812366,-0.00082146066454418,1.2687939846984e-06,0.0
C2HCl5,pentachloroethane,1976-01-07 00:00:00,258.65,456.23,-155.99481452462,3.2091220526027,-0.011375258568928,1.7000478374522e-05,-8.3313839942483e-09
C2HF3,trifluoroethene,359-11-5,94.53,284.12,78.498489734511,0.19795438131845,-0.0007808945368223,2.7376731960483e-06,0.0
C2HF3O2,trifluoroacetic acid,1976-05-01 00:00:00,257.9,418.1,38.355235362353,1.0467294331742,-0.0033180265387132,4.4766665591775e-06,0.0
C2HF5,pentafluoroethane,354-33-6,172.52,324.82,1781.6964530007,-30.611069032225,0.20983866122714,-0.00063455636845273,7.1952629386632e-07
C2H2,acetylene,74-86-2,192.4,290.0,10138.074741243,-177.97580994993,1.1744391133987,-0.003427401640649,3.7367487638424e-06
C2H2Br4,"1,1,2,2-tetrabromoethane",79-27-6,274.0,742.0,99.752,0.42305,-0.00088103,7.8706e-07,0.0
C2H2Br4,"1,1,1,2-tetrabromoethane",630-16-0,273.15,661.64,162.8002410751,0.27145890302715,-0.00051533153087755,6.5925186231029e-07,0.0
C2H2ClF3,"1-chloro-1,1,2-trifluoroethane",421-04-5,240.59,357.05,0.66117372852102,1.2072257457116,-0.0043272902851711,6.350202350012e-06,0.0
C2H2ClF3,"1-chloro-1,2,2-trifluoroethane",431-07-2,208.17,359.41,18.857708728581,1.0975749332365,-0.0040274250856584,6.1435092888009e-06,0.0
C2H2ClF3,"2-chloro-1,1,1-trifluoroethane",75-88-7,167.65,355.71,56.322675682443,0.67185844112994,-0.0025115088987016,4.2606631535609e-06,0.0
C2H2Cl2,"1,1-dichloroethylene",75-35-4,151.9,322.44,-79.600188702722,3.2726078472879,-0.022012238358698,6.4362960935039e-05,-6.7153874700571e-08
C2H2Cl2,"cis-1,2-dichloroethylene",156-59-2,194.0,474.0,41.692,0.5918,-0.0018794,2.5208e-06,0.0
C2H2Cl2,"trans-1,2-dichloroethylene",156-60-5,224.0,457.0,11.098,0.87604,-0.0027731,3.4932e-06,0.0
C2H2Cl2,dichloroethylene,25323-30-2,192.75,419.41,62.513693795335,0.43820030530277,-0.001396856842434,2.1784600335554e-06,0.0
C2H2Cl2,"1,2-dichloroethylene, cis and trans",540-59-0,216.15,416.91,57.982139262075,0.44664672035277,-0.0014010235962671,2.1327341217008e-06,0.0
C2H2Cl2F2,"1,1-dichloro-1,2-difluoroethane",1842-05-3,238.36,401.86,60.111761635386,0.65556689942149,-0.0020997521103344,3.1156220306601e-06,0.0
C2H2Cl2F2,"1,1-dichloro-2,2-difluoroethane",471-43-2,205.94,424.57,70.048110854163,0.39273396824007,-0.0012010511301045,1.8662674663632e-06,0.0
C2H2Cl2F2,"1,2-dichloro-1,1-difluoroethane",1649-08-7,171.35,407.47,82.116387941825,0.44780197490924,-0.0014507892324276,2.4033088072503e-06,0.0
C2H2Cl2F2,"1,2-dichloro-1,2-difluoroethane",431-06-1,171.95,403.76,77.510399215618,0.49191990901246,-0.0016303963926529,2.6644314826741e-06,0.0
C2H2Cl2O,chloroacetyl chloride,1979-04-09 00:00:00,251.15,480.08,79.913965436302,0.4132413511856,-0.0011249665548814,1.5776056755226e-06,0.0
C2H2Cl2O,dichloroacetaldehyde,1979-02-07 00:00:00,223.0,458.5,77.142941609334,0.42015298463717,-0.0012057970713873,1.778849630256e-06,0.0
C2H2Cl2O2,dichloroacetic acid,79-43-6,288.0,617.0,14.071,1.0731,-0.002547,2.4567e-06,0.0
C2H2Cl3F,"1,1,1-trichloro-2-fluoroethane",2366-36-1,201.0,509.0,56.323,0.71402,-0.0021347,2.7158e-06,0.0
C2H2Cl3F,"1,1,2-trichloro-1-fluoroethane",811-95-0,168.45,460.47,96.17682611226,0.3396436353159,-0.00096891627187237,1.5789570803144e-06,0.0
C2H2Cl3F,"1,1,2-trichloro-2-fluoroethane",359-28-4,203.71,464.04,85.129516051042,0.47350688367441,-0.0013928280109625,2.0424231541008e-06,0.0
C2H2Cl4,"1,1,1,2-tetrachloroethane",630-20-6,202.94,513.83,106.84164966041,0.27463740623167,-0.00068036985053224,1.0285242876314e-06,0.0
C2H2Cl4,"1,1,2,2-tetrachloroethane",79-34-5,251.25,440.93,602.63253929709,-6.5812696136298,0.034598415870785,-7.768089973617e-05,6.3807799714289e-08
C2H2F2,"1,1-difluoroethylene",75-38-7,129.15,246.48,48.216926056842,0.37938141736002,-0.0019163584218708,5.5166720862533e-06,0.0
C2H2F2,"cis-1,2-difluoroethene",1630-77-9,107.9,319.91,49.398070393039,0.47761296983733,-0.0020753295567131,4.1126499274553e-06,0.0
C2H2F2,"trans-1,2-difluoroethene",1630-78-0,107.9,319.91,51.000115201688,0.493102590642,-0.0021426352412492,4.2460286083156e-06,0.0
C2H2F4,"1,1,1,2-tetrafluoroethane",811-97-2,172.04,355.37,1070.3372519205,-17.090891810012,0.11323956852673,-0.0003282364724703,3.5448073935776e-07
C2H2F4,"1,1,2,2-tetrafluoroethane",359-35-3,184.15,317.05,-33.532990641147,1.9453342836718,-0.0080671382502868,1.3140998537636e-05,0.0
C2H2O,ketene,463-51-4,147.58,238.01,1060.1875773241,-20.607966042743,0.15790397882542,-0.00052782874703534,6.5559397297668e-07
C2H2O4,oxalic acid,144-62-7,462.65,686.5,-35.191457279985,0.99217577542555,-0.0019387394785343,1.5222675957569e-06,0.0
C2H3Br,vinyl bromide,593-60-2,136.0,426.0,55.358,0.38234,-0.0014003,2.363e-06,0.0
C2H3Br3,"1,1,1-tribromoethane",2311-14-0,293.62,572.23,117.08568297111,0.31156421407564,-0.00068315873460546,8.7636996942698e-07,0.0
C2H3Br3,"1,1,2-tribromoethane",78-74-0,243.85,585.99,130.30798504638,0.28880483872825,-0.00062835013176044,8.6192430268591e-07,0.0
C2H3Cl,vinyl chloride,1975-01-04 00:00:00,126.26,276.53,-100.93244327986,3.8785548104822,-0.029128367324854,9.2850029096699e-05,-1.0524385945078e-07
C2H3ClF2,"1-chloro-1,1-difluoroethane",75-68-3,274.82,349.82,36.908778905357,-0.19740113281263,0.0066159006164666,-2.6445086346398e-05,3.3731671989392e-08
C2H3ClF2,"1-chloro-1,2-difluoroethane",338-64-7,191.02,357.94,42.976705633459,0.73741117811063,-0.0027015790814267,4.3948753547944e-06,0.0
C2H3ClF2,"2-chloro-1,1-difluoroethane",338-65-8,191.02,393.08,63.792009798156,0.4871366509947,-0.0016223959934736,2.6135832632605e-06,0.0
C2H3ClO,acetyl chloride,75-36-5,161.0,457.0,55.906,0.44327,-0.0014885,2.2362e-06,0.0
C2H3ClO,chloroacetaldehyde,107-20-0,201.0,500.0,37.389,0.59407,-0.0018083,2.3175e-06,0.0
C2H3ClO2,chloroacetic acid,1979-11-08 00:00:00,334.0,617.0,-42.876,1.4722,-0.0033749,2.961e-06,0.0
C2H3ClO2,methyl chloroformate,79-22-1,250.0,434.5,70.469087116956,0.52337462003621,-0.0015632648804259,2.2271302186676e-06,0.0
C2H3Cl2F,"1,1-dichloro-1-fluoroethane",1717-00-6,169.65,391.13,73.714431466563,0.40623789827189,-0.0013531791170176,2.2885414445803e-06,0.0
C2H3Cl2F,"1,1-dichloro-2-fluoroethane",430-53-5,188.79,389.12,62.890920313938,0.53486831478243,-0.0018078187587295,2.9251347234745e-06,0.0
C2H3Cl2F,"1,2-dichloro-1-fluoroethane",430-57-9,213.15,442.64,76.406038541128,0.41105891979017,-0.0012101726401781,1.844610880784e-06,0.0
C2H3Cl3,"1,1,1-trichloroethane",71-55-6,258.13,367.01,-4483.9747357882,60.308288950015,-0.2937742082593,0.00063260793327792,-5.0679026949359e-07
C2H3Cl3,"1,1,2-trichloroethane",1979-10-05 00:00:00,238.0,542.0,34.934,0.85054,-0.0023306,2.6455e-06,0.0
C2H3F,vinyl fluoride,1975-02-05 00:00:00,112.65,264.38,61.083655184715,0.22414920417841,-0.00097760505513771,3.1722020941394e-06,0.0
C2H3F3,"1,1,1-trifluoroethane",420-46-2,161.34,330.37,912.42068187659,-15.681017949994,0.1118432096906,-0.00035008795475443,4.1071483283941e-07
C2H3F3,"1,1,2-trifluoroethane",430-66-0,189.15,353.88,45.546872148532,0.67502549177432,-0.0024844790334772,4.0805000317375e-06,0.0
C2H3I,vinyl iodide,593-66-8,168.1,433.07,64.682368774712,0.19895735830979,-0.00056689329508418,9.8437762237094e-07,0.0
C2H3I3,"1,1,1-triiodoethane",594-21-8,366.15,679.73,109.08603094359,0.22862569039902,-0.00040984785254524,4.3863275041283e-07,0.0
C2H3N,acetonitrile,1975-05-08 00:00:00,238.74,373.83,-1110.8798782702,16.364712355929,-0.083356719742339,0.000187251268271,-1.5540783931621e-07
C2H3N,methyl isocyanide,593-75-9,228.15,425.01,48.969536206063,0.39813338431779,-0.0012210054205374,1.8303132975045e-06,0.0
C2H3NO,methyl isocyanate,624-83-9,256.15,408.5,38.286916541534,0.38283877233556,-0.0011834854408748,1.7560788005696e-06,0.0
C2H4,ethylene,74-85-1,120.0,255.0,499.24884559884,-9.6946566760037,0.0817044100199,-0.00030866670439219,4.4450480528912e-07
C2H4Br2,"1,1-dibromoethane",557-91-5,211.0,565.0,60.555,0.51074,-0.0013765,1.6277e-06,0.0
C2H4Br2,"1,2-dibromoethane",106-93-4,288.05,429.07,-5571.4751055812,67.030679547962,-0.29306381130132,0.00056469003664002,-4.0385310113458e-07
C2H4ClF,1-chloro-1-fluoroethane,1615-75-4,158.87,373.69,63.194006451155,0.41914451526516,-0.0014737039313705,2.5737764268084e-06,0.0
C2H4ClF,1-chloro-2-fluoroethane,762-50-5,197.15,418.58,63.918073348284,0.39572656633913,-0.0012345544985113,1.962358227808e-06,0.0
C2H4Cl2,"1,1-dichloroethane",75-34-3,199.67,349.71,-319.73699822803,6.1198805330543,-0.031546055817372,7.1100201692188e-05,-5.7987817137615e-08
C2H4Cl2,"1,2-dichloroethane",107-06-2,255.32,377.09,1245.6160067061,-14.582858571293,0.069264240327624,-0.00014372056005673,1.1135155774975e-07
C2H4Cl2,dichloroethane,1300-21-6,206.84,442.76,77.998956597299,0.30991339225647,-0.00088679749744246,1.3922771400678e-06,0.0
C2H4Cl2O,bis(chloromethyl) ether,542-88-1,231.65,478.5,88.236340853387,0.36774660916657,-0.00099835421085934,1.4465975585812e-06,0.0
C2H4F2,"1,1-difluoroethane",75-37-6,155.37,360.93,358.33890436372,-5.2533546970534,0.038441315795812,-0.00012139036764661,1.4247615700565e-07
C2H4F2,"1,2-difluoroethane",624-72-6,176.1,389.83,53.779196187353,0.45784979839345,-0.0015622961221411,2.5946457015825e-06,0.0
C2H4I2,"1,1-diiodoethane",594-02-5,212.92,588.02,102.7689756352,0.1625233438653,-0.0003239136333717,4.8848404814958e-07,0.0
C2H4I2,"1,2-diiodoethane",624-73-7,356.16,611.54,70.491807398839,0.35410703187667,-0.00074813160568512,8.1101839456691e-07,0.0
C2H4O,acetaldehyde,1975-07-23 00:00:00,161.65,311.2,-110.47996213989,3.4109562361334,-0.022072055330752,6.2854652900069e-05,-6.4407081599641e-08
C2H4O,ethylene oxide,75-21-8,173.15,440.0,89.711912388357,-0.091629102566474,0.00045550430026591,-1.8104112925577e-06,4.2167537692376e-09
C2H4OS,thioacetic-acid,507-09-5,150.16,468.75,95.761845406088,0.23936484263711,-0.00063660859452245,1.1074745257183e-06,0.0
C2H4O2,acetic acid,64-19-7,293.15,560.0,-234.17848552333,2.3001443299972,-0.0041685312517053,1.4953231192736e-07,4.6417180297624e-09
C2H4O2,methyl formate,107-31-3,186.15,323.13,-257.97195216099,5.9442600123986,-0.036373029637273,9.8503241538817e-05,-9.7312665892114e-08
C2H4S,ethylene sulfide,420-12-2,165.37,441.54,67.906027612732,0.13412674637369,-0.00034324631364077,6.2571876041144e-07,0.0
C2H5Br,bromoethane,74-96-4,163.85,330.73,-11.161183591416,1.5618783422947,-0.0091532810685621,2.3828953679854e-05,-2.184890853765e-08
C2H5Cl,ethyl chloride,1975-10-03 00:00:00,144.95,302.91,279.71492010294,-4.0206962434498,0.029626563392487,-9.1601426508475e-05,1.0345943336163e-07
C2H5ClO,2-chloroethanol,107-07-3,205.65,493.38,117.56338914458,0.38417532301812,-0.00108341796684,1.5314261547132e-06,0.0
C2H5F,ethyl fluoride,353-36-6,131.0,338.0,47.221,0.55316,-0.002497,4.8169e-06,0.0
C2H5I,ethyl iodide,1975-03-06 00:00:00,163.0,505.0,57.053,0.37396,-0.0011485,1.6316e-06,0.0
C2H5N,ethyleneimine,151-56-4,195.2,433.0,55.383413989209,0.19312895528184,-0.00056679564134003,9.2324192309864e-07,0.0
C2H5NO,acetamide,60-35-5,354.15,627.65,59.234672589643,0.31395233263556,-0.00066147915206621,6.9994478659137e-07,0.0
C2H5NO,N-methylformamide,123-39-7,269.35,596.83,83.358831178981,0.23999939810615,-0.00053296686087445,6.8145137147532e-07,0.0
C2H5NO2,nitroethane,79-24-3,185.0,534.0,70.398,0.56739,-0.0016579,2.1408e-06,0.0
C2H6,ethane,74-84-0,90.35,280.0,110.43996905692,-1.4508746214919,0.017081397992634,-8.2347164700825e-05,1.4351251461806e-07
C2H6AlCl,dimethylaluminum chloride,1184-58-3,252.15,509.08,77.849936213985,0.33958766830968,-0.00087197976880653,1.2168383673198e-06,0.0
C2H6O,ethyl alcohol,64-17-5,173.15,483.0,238.3080385029,-2.3806423264618,0.013317056459749,-3.1996237261443e-05,3.1505112053582e-08
C2H6O,dimethyl ether,115-10-6,152.41,263.49,-360.92278858844,8.2215667012195,-0.054002720448735,0.00015328986039884,-1.5665056426559e-07
C2H6OS,dimethyl sulfoxide,67-68-5,293.0,653.0,27.879,0.78628,-0.0017762,1.6546e-06,0.0
C2H6O2,ethylene glycol,107-21-1,270.0,490.0,-57.243732458182,1.4567796614909,-0.0043254831776624,7.3567758441559e-06,-4.8284207792208e-09
C2H6O4S,dimethyl sulfate,77-78-1,241.35,609.98,109.5341227816,0.20594110247796,-0.0003662016558707,5.5508031277618e-07,0.0
C2H6S,ethyl mercaptan,1975-08-01 00:00:00,129.21,327.25,-27.780061036243,2.7241136551616,-0.018467552117973,5.2063367780761e-05,-5.12142595085e-08
C2H6S,dimethyl sulfide,75-18-3,199.02,329.74,-371.36973933799,6.8165314920221,-0.035610176056957,8.1150658817964e-05,-6.6779480693646e-08
C2H6S2,dimethyl disulfide,624-92-0,189.0,545.0,74.256,0.49795,-0.0013915,1.7762e-06,0.0
C2H7N,ethylamine,1975-04-07 00:00:00,195.15,306.37,-918.78194870151,16.346179189892,-0.094030979417042,0.00023607383767115,-2.1646426499871e-07
C2H7N,dimethylamine,124-40-3,189.56,295.75,3078.622063313,-52.001146423174,0.33821664421262,-0.00096363323747818,1.0178120624443e-06
C2H7NO,monoethanolamine,141-43-5,303.15,467.56,2684.8007944061,-28.415419789436,0.11745472655382,-0.00021126652541045,1.4071182412259e-07
C2H8N2,ethylenediamine,107-15-3,294.29,491.71,94.268974412174,0.52819616407924,-0.0014403468435662,1.8441550535712e-06,0.0
C2H8Si,dimethyl silane,1111-74-6,122.93,327.78,58.963580038026,0.53552562724761,-0.0022252348607646,4.229914843314e-06,0.0
C2N2,cyanogen,460-19-5,255.25,326.08,11.367012541344,0.78942006229949,-0.0030569636290426,4.9329707657666e-06,0.0
C3F6,hexafluoropropylene,116-15-4,116.65,305.78,32.490552977546,1.1752247294687,-0.005434184404737,1.0160431969939e-05,0.0
C3F6O,hexafluoroacetone,684-16-2,152.0,321.0,30.204,1.7703,-0.0081288,1.4734e-05,0.0
C3F8,octafluoropropane,76-19-7,126.0,311.0,66.135,1.2101,-0.0058622,1.2066e-05,0.0
C3H2F6,"1,1,1,2,2,3-hexafluoropropane",677-56-5,190.0,337.78,-55.544057640491,2.4558929613431,-0.0097679219259777,1.5270996832322e-05,0.0
C3H2F6,"1,1,1,2,3,3-hexafluoropropane",431-63-0,190.0,343.29,4.1488842438503,1.5608889554804,-0.0060615960994938,9.4993288247685e-06,0.0
C3H2F6,"1,1,1,3,3,3-hexafluoropropane",690-39-1,179.53,339.65,22.008382113247,1.2984890810973,-0.0051073137517594,8.2942162966931e-06,0.0
