molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
C7H12,1-ethylcyclopentene,2146-38-5,250,1500,-5.94542784513304,0.24224965886087,-3.39844733651907e-05,-1.23738126792e-09
C7H12,4-ethylcyclopentene,3742-38-9,250,1500,-6.46361892394967,0.247832460046105,-3.92713257155313e-05,4.0599683004186603e-10
C7H12,"3,cis-5-dimethylcyclopentene",30213-29-7,250,1500,-6.83395177454751,0.25225046844365,-4.31131418908534e-05,1.58338350479413e-09
C7H12,2-heptyne,1119-65-9,250,1500,-5.44566912417514,0.226048032948997,-3.0539303131411404e-05,-1.5886765335178699e-09
C7H12,4-methylcyclohexene,591-47-9,250,1500,-5.99825869452711,0.245556883802253,-3.4121673360838504e-05,-1.3753135554450698e-09
C7H12,3-heptyne,2586-89-2,250,1500,-5.7340199345707,0.229115732540488,-3.3432008689286894e-05,-6.92052624845066e-10
C7H12,1-methylcyclohexene,591-49-1,250,1500,-5.50105579214607,0.240336970435953,-2.9224573782884002e-05,-2.88802556850293e-09
C7H12,"4,4-dimethylcyclopentene",19037-72-0,250,1500,-6.76661196239034,0.251834816983884,-4.2341679823053706e-05,1.3196397734576e-09
C7H12,"3,trans-5-dimethylcyclopentene",61394-27-2,250,1500,-6.83395177454751,0.25225046844365,-4.31131418908534e-05,1.58338350479413e-09
C7H12,1-heptyne,628-71-7,250,1500,-6.68197470241518,0.245851806672401,-3.61225911456081e-05,-1.00333735508791e-09
C7H12O,"2-methylcyclohexanone, (-n++)",24965-84-2,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,3-methylcyclohexanone,591-24-2,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,trans-2-heptenal,18829-55-5,250,1500,-4.95485288138485,0.245202946698993,-2.27492296941497e-05,-5.5437908795856004e-09
C7H12O,"3-methylcyclohexanone, (-n++)",625-96-7,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,4-methylcyclohexanone,589-92-4,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,"2,2-dimethyl-4-pentenal",5497-67-6,250,1500,-4.95485288138485,0.245202946698993,-2.27492296941497e-05,-5.5437908795856004e-09
C7H12O,4-heptenal,6728-31-0,250,1500,-4.95485288138485,0.245202946698993,-2.27492296941497e-05,-5.5437908795856004e-09
C7H12O,methylcyclohexanone,1331-22-2,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,2-methylcyclohexanone,583-60-8,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,(Z)-5-hepteN-2-one,4535-61-9,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,5-methyl-5-hexeN-2-one,'3240-09-3',250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,3-methyl-5-hexeN-2-one,2550-22-3,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,(S)-3-methylcyclohexanone,24965-87-5,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,(R)-(+)-3-methylcyclohexanone,13368-65-5,250,1500,-3.07668313394035,0.21990073165844,-6.8543785306857805e-06,-9.889139501476792e-09
C7H12O,4-hepteN-2-one,24332-22-7,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,5-methyl-1-hexeN-3-one,2177-32-4,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,5-methyl-4-hexeN-2-one,28332-44-7,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,2-heptenal,18829-55-5,250,1500,-4.95485288138485,0.245202946698993,-2.27492296941497e-05,-5.5437908795856004e-09
C7H12O,1-hepteN-3-one,2918-13-0,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,6-hepteN-2-one,21889-88-3,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,6-hepteN-3-one,2565-39-1,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,cis-3-hepteN-2-one,69668-88-8,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,trans-3-hepteN-2-one,'5609-09-6',250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,trans-5-hepteN-2-one,1071-94-9,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,2-methyl-4-hexeN-3-one,53252-19-0,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,4-methyl-5-hexeN-2-one,61675-14-7,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,5-methyl-3-hexeN-2-one,5166-53-0,250,1500,-4.45849946936703,0.228973562891583,-1.94956979886518e-05,-5.81617764227306e-09
C7H12O,3-heptenal,89896-73-1,250,1500,-4.95485288138485,0.245202946698993,-2.27492296941497e-05,-5.5437908795856004e-09
C7H12O2,5-heptenoic acid,'3593-00-8',250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,methyl 3-methyl-3-pentenoate,2258-58-4,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,trans-2-methyl-2-hexenoic acid,97961-66-5,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,ethyl 3-methyl-2-butenoate,638-10-8,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,ethyl trans-2-methyl-2-butenoate,5837-78-5,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,methyl 3-hexenoate,2396-78-3,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,methyl 2-methyl-2-pentenoate,10478-12-3,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,methyl cis-3-methyl-2-pentenoate,17447-00-6,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,methyl trans-3-methyl-2-pentenoate,17447-01-7,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,tert-butyl acrylate,1663-39-4,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,methyl trans-2-methyl-2-pentenoate,1567-14-2,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,4-pentenyl acetate,1576-85-8,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,"3,3-dimethylallyl acetate",1191-16-8,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,5-methyl-4-hexenoic acid,5636-65-7,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,cis-3-hexenyl formate,33467-73-1,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,isobutyl acrylate,106-63-8,250,1500,-5.9850111082109,0.245923671011123,-3.391728790446e-05,-1.4719305740904002e-09
C7H12O2,4-methyl-3-hexenoic acid,55665-79-7,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,4-methyl-2-hexenoic acid,37549-83-0,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,3-methyl-3-hexenoic acid,35205-71-1,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,butyl acrylate,141-32-2,250,1500,-5.21427439936282,0.237888169784134,-2.64012116425214e-05,-3.7889532251736e-09
C7H12O2,6-heptenoic acid,1119-60-4,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,5-methyl-2-hexenoic acid,41653-96-7,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,4-heptenoic acid,35194-37-7,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,2-heptenoic acid,18999-28-5,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,"2,2-dimethyl-4-pentenoic acid",16386-93-9,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O2,allyl butanoate,2051-78-7,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,isopropyl methacrylate,4655-34-9,250,1500,-5.45689634475699,0.240389931441397,-2.8729897832658198e-05,-3.0734524352437298e-09
C7H12O2,propyl methacrylate,2210-28-8,250,1500,-5.1714855363276,0.237449415050618,-2.59939191439888e-05,-3.91386283156613e-09
C7H12O2,2-methyl-3-hexenoic acid,73513-50-5,250,1500,-0.442725706259978,0.185456986299299,1.3125399547727801e-05,-1.50180555460936e-08
C7H12O4,diethyl malonate,105-53-3,250,1500,-3.05256044050401,0.226171771243675,-5.99736960582164e-06,-1.0549368255391199e-08
C7H13Br,trans-1-bromo-1-heptene,53434-74-5,250,1500,-4.23542898064815,0.247593028650377,-1.51691277748323e-05,-8.44217947427973e-09
C7H13Br,cis-1-bromo-1-heptene,39924-57-7,250,1500,-4.23542898064815,0.247593028650377,-1.51691277748323e-05,-8.44217947427973e-09
C7H13Br3,"1,1,1-tribromoheptane",62127-64-4,250,1500,1.24420951010264,0.231596963114419,3.05728887931981e-05,-2.35941717427888e-08
C7H13Cl,cis-1-chloro-1-heptene,53268-66-9,250,1500,-4.43592288798379,0.225271933366986,-1.96917808890201e-05,-5.53528080316666e-09
C7H13Cl,trans-1-chloro-1-heptene,53268-67-0,250,1500,-4.43592288798379,0.225271933366986,-1.96917808890201e-05,-5.53528080316666e-09
C7H13Cl,1-chloro-1-heptene,2384-75-0,250,1500,-4.43592288798379,0.225271933366986,-1.96917808890201e-05,-5.53528080316666e-09
C7H13Cl,2-chloro-1-heptene,65786-11-0,250,1500,-4.43592288798379,0.225271933366986,-1.96917808890201e-05,-5.53528080316666e-09
C7H13Cl,4-chloro-3-heptene,2431-24-5,250,1500,-4.43592288798379,0.225271933366986,-1.96917808890201e-05,-5.53528080316666e-09
C7H13Cl3,"1,1,1-trichloroheptane",3922-26-7,250,1500,-2.0656080417379,0.216329110751671,2.0665127809248298e-06,-1.2875306645196498e-08
C7H13F,cis-1-fluoro-1-heptene,28028-91-3,250,1500,-7.87398964172874,0.259420813988957,-5.577653956088721e-05,5.911800641210129e-09
C7H13F,trans-1-fluoro-1-heptene,28028-92-4,250,1500,-7.87398964172874,0.259420813988957,-5.577653956088721e-05,5.911800641210129e-09
C7H13F3,"1,1,1-trifluoroheptane",693-09-4,250,1500,-8.44513739249474,0.279894040982086,-5.94395098274446e-05,6.10064189334453e-09
